Buffer1,CounterIon1,Fe2_source1,pH,Fh_g,Fe2_mM,Fe2Fh_mMg,Fh_pct,Gt_pct,Lp_pct,Mt_pct,Time_hr
MES,sulfate,FeSO4,6.92,0.5,1,2,95,5,0,0,2
MES,sulfate,FeSO4,6.92,0.5,1,2,75,20,5,0,4
MES,sulfate,FeSO4,6.92,0.5,1,2,62,35,3,0,6
MES,sulfate,FeSO4,6.92,0.5,1,2,45,47,8,0,8
MES,sulfate,FeSO4,6.92,0.5,1,2,34,55,11,0,10
MES,sulfate,FeSO4,6.92,0.5,1,2,18,66,16,0,12
MES,sulfate,FeSO4,6.92,0.5,1,2,7,72,21,0,16
MES,sulfate,FeSO4,6.92,0.5,1,2,18,82,0,0,20
MES,sulfate,FeSO4,6.92,0.5,1,2,7,87,6,0,25
MES,sulfate,FeSO4,7.13,0.5,1,2,100,0,0,0,0
MES,sulfate,FeSO4,7.13,0.5,1,2,92,8,0,0,2
MES,sulfate,FeSO4,7.13,0.5,1,2,70,30,0,0,4
MES,sulfate,FeSO4,7.13,0.5,1,2,63,30,7,0,6
MES,sulfate,FeSO4,7.13,0.5,1,2,39,61,1,0,8
MES,sulfate,FeSO4,7.13,0.5,1,2,23,74,3,0,10
MES,sulfate,FeSO4,7.13,0.5,1,2,9,85,6,0,12
MES,sulfate,FeSO4,7.13,0.5,1,2,3,95,2,0,16
MES,sulfate,FeSO4,7.13,0.5,1,2,4,92,4,0,20
MES,sulfate,FeSO4,7.3,0.5,1,2,100,0,0,0,0
MES,sulfate,FeSO4,7.3,0.5,1,2,90,10,0,0,2
MES,sulfate,FeSO4,7.3,0.5,1,2,66,33,1,0,4
MES,sulfate,FeSO4,7.3,0.5,1,2,70,30,0,0,6
MES,sulfate,FeSO4,7.3,0.5,1,2,49,51,0,0,8
MES,sulfate,FeSO4,7.3,0.5,1,2,33,64,3,0,10
MES,sulfate,FeSO4,7.3,0.5,1,2,25,75,0,0,12
MES,sulfate,FeSO4,7.3,0.5,1,2,12,88,0,0,16
MES,sulfate,FeSO4,7.3,0.5,1,2,10,89,1,0,20
MES,sulfate,FeSO4,6.36,0.5,2,4,100,0,0,0,0
MES,sulfate,FeSO4,6.36,0.5,2,4,92,7,1,0,2
MES,sulfate,FeSO4,6.36,0.5,2,4,71,24,5,0,4
MES,sulfate,FeSO4,6.36,0.5,2,4,48,42,10,0,6
MES,sulfate,FeSO4,6.36,0.5,2,4,37,50,13,0,8
MES,sulfate,FeSO4,6.36,0.5,2,4,27,60,13,0,10
MES,sulfate,FeSO4,6.36,0.5,2,4,19,72,9,0,12
MES,sulfate,FeSO4,6.36,0.5,2,4,22,74,4,0,16
MES,sulfate,FeSO4,6.36,0.5,2,4,20,75,5,0,20
MES,sulfate,FeSO4,6.36,0.5,2,4,17,83,0,0,24
MES,sulfate,FeSO4,6.5,0.5,3,6,100,0,0,0,0
MES,sulfate,FeSO4,6.5,0.5,3,6,72,10,18,0,5
